review_id,app_name,category,wtp_signal_text,wtp_classification,associated_feature,market_region
ff520eab-477c-44a3-a03c-1ffa1c7a19c1,Astrotalk,astrology,scam,negative_wtp,,india
9dc8100a-a222-4d8a-849f-cfc7dcacbe54,Astrotalk,astrology,scam,negative_wtp,,india
2f595e72-5399-44c3-978f-76b8fcda2d93,Astrotalk,astrology,SCAM,negative_wtp,,india
76faf961-eeac-4bef-af7d-6a797543d46b,Astrotalk,astrology,scam,negative_wtp,,india
b748559a-eb77-4e64-8cf7-15bb32c402dd,Astrotalk,astrology,loot,negative_wtp,,india
93216ebe-9d7d-43e7-baa7-e9cdb1b3724e,Astrotalk,astrology,not worth,negative_wtp,,india
93216ebe-9d7d-43e7-baa7-e9cdb1b3724e,Astrotalk,astrology,scam,negative_wtp,,india
66a321d4-405a-49db-b56e-388fe4613f0c,Astrotalk,astrology,waste of money,negative_wtp,,india
ea5e6f18-78bb-49b0-ad63-68ae3810e035,Astrotalk,astrology,loot,negative_wtp,,india
2ec7d8b4-877d-4a0c-8af2-b211edec5299,Astrotalk,astrology,scam,negative_wtp,,india
03f1bd41-7b02-43cc-81b9-509bd337658c,Astrotalk,astrology,waste of money,negative_wtp,,india
4597b930-6886-4a49-bd53-16a24dbd954a,Astrotalk,astrology,scam,negative_wtp,,india
8ab87cc5-7545-4d1b-9851-b8d5444ae03e,Astrotalk,astrology,loot,negative_wtp,,india
04558cd9-de06-43d8-b9b6-a6f443cd3bb3,Astrotalk,astrology,loot,negative_wtp,,india
10e1c4f2-7b2f-4af2-bb98-4f5365c6ff2d,Astrotalk,astrology,Waste of money,negative_wtp,,india
25aa11d3-4967-443d-8287-aaa8d561d79b,Astrotalk,astrology,scam,negative_wtp,,india
d2d8a28f-4daf-4daa-91ef-db55144718da,Astrotalk,astrology,scam,negative_wtp,,india
43741783-3f3d-466b-854f-27dfeac3ef68,Astrotalk,astrology,Not worth,negative_wtp,,india
5559e485-36b8-45d5-8c7b-98db57ab9094,Astrotalk,astrology,waste of money,negative_wtp,,india
5559e485-36b8-45d5-8c7b-98db57ab9094,Astrotalk,astrology,scam,negative_wtp,,india
4350a940-4d65-45c8-a1d1-91af66e7ef69,Astrotalk,astrology,waste of money,negative_wtp,remedies,india
d9b19379-5cd0-4723-80ea-d5587e080883,Astrotalk,astrology,loot,negative_wtp,,india
8eb95735-6508-4eba-b7db-24a101e76a11,Astrotalk,astrology,waste of money,negative_wtp,,india
9c85bcf3-11a4-4e71-acb9-6c88088ca5e1,Astrotalk,astrology,scam,negative_wtp,,india
9c85bcf3-11a4-4e71-acb9-6c88088ca5e1,Astrotalk,astrology,scam,negative_wtp,,india
b93fc0f3-a44f-4a2e-a0ad-9c60f91d5122,Astrotalk,astrology,scam,negative_wtp,,india
b93fc0f3-a44f-4a2e-a0ad-9c60f91d5122,Astrotalk,astrology,scam,negative_wtp,,india
b93fc0f3-a44f-4a2e-a0ad-9c60f91d5122,Astrotalk,astrology,scam,negative_wtp,,india
65721266-d25f-42da-b0df-04fb5b3e7f90,Astrotalk,astrology,scam,negative_wtp,,india
64c64057-d482-47f6-8358-c60a83141c03,Astrotalk,astrology,scam,negative_wtp,,india
60f539c7-6f01-42bf-85e3-8356caa1ec01,Astrotalk,astrology,scam,negative_wtp,,india
b0dc8a6d-48bc-4445-9504-be194a0651a7,Astrotalk,astrology,scam,negative_wtp,,india
6675660c-e555-4ffa-9dde-7de281e9ab45,Astrotalk,astrology,waste of money,negative_wtp,,india
8e40813c-2fdc-49bb-8058-00a9799c2f2e,Astrotalk,astrology,waste of money,negative_wtp,,india
a8d666e0-a787-40b5-abb3-57e29981ef73,Astrotalk,astrology,loot,negative_wtp,,india
e842e549-9f47-455f-9d23-19efc5285aee,Astrotalk,astrology,scam,negative_wtp,,india
82b1264e-b619-42a3-aae7-f71004c020ac,Astrotalk,astrology,waste of money,negative_wtp,,india
bdef234f-5538-484d-8d53-0b9aca6b5371,Astrotalk,astrology,waste of money,negative_wtp,,india
73ce99c5-0c8e-40e9-89cd-c4bd411376bf,Astrotalk,astrology,scam,negative_wtp,,india
73ce99c5-0c8e-40e9-89cd-c4bd411376bf,Astrotalk,astrology,scam,negative_wtp,,india
18c413f0-9b79-4dc8-bfb7-00d0f971cb67,Astrotalk,astrology,scam,negative_wtp,,india
10234dab-22f1-4ff3-97df-fb994183593a,Astrotalk,astrology,waste of money,negative_wtp,,india
ef65adf2-94bd-44a3-a5c5-00ad7159a2ad,Astrotalk,astrology,scam,negative_wtp,,india
b8b7466b-6191-42ac-9ffc-dfc0f29b4b24,Astrotalk,astrology,waste of money,negative_wtp,,india
eb2e8f7f-74c5-4119-9369-0f8bf763df0e,Astrotalk,astrology,waste of money,negative_wtp,,india
9576d69a-b0e5-4b17-bdb8-3f123538edfb,Astrotalk,astrology,scam,negative_wtp,,india
f3c23486-31e1-429c-a584-a63f851261af,Astrotalk,astrology,scam,negative_wtp,,india
f3c23486-31e1-429c-a584-a63f851261af,Astrotalk,astrology,scam,negative_wtp,,india
ebe0c0b7-b647-43ee-8eb9-97e30099c353,Astrotalk,astrology,scam,negative_wtp,,india
6c63f3c1-d7b1-41a4-9a16-dad0b44f28db,Astrotalk,astrology,waste of money,negative_wtp,,india
3a595f2d-bac5-4933-855d-85cd36a96dd8,Astrotalk,astrology,waste of money,negative_wtp,,india
d12f59fd-52ed-441c-a1e8-b2868fa2f947,Astrotalk,astrology,scam,negative_wtp,,india
50c42fd6-2733-4a4e-977e-35687de72797,Astrotalk,astrology,loot,negative_wtp,,india
514fed3f-fd93-4602-984b-854db2b4c2c7,Astrotalk,astrology,scam,negative_wtp,,india
514fed3f-fd93-4602-984b-854db2b4c2c7,Astrotalk,astrology,scam,negative_wtp,,india
9f8144b1-a50b-4bd4-af48-b6368ffd8b18,Astrotalk,astrology,waste of money,negative_wtp,,india
8b5aab2b-1ef7-4f60-8dc4-d7e5dd7a67cb,Astrotalk,astrology,scam,negative_wtp,,india
5231bb14-d887-4237-8b25-d9de66d7d1b6,Astrotalk,astrology,not worth,negative_wtp,,india
f0910eb6-f7c1-4239-b85c-c82ec6a0df27,Astrotalk,astrology,waste of money,negative_wtp,,india
1a6930fe-8360-45cf-b10d-1a50b10e2aa1,Astrotalk,astrology,scam,negative_wtp,,india
0c735355-14a4-443f-bf8a-de49d947fa3c,Astrotalk,astrology,Waste Of Money,negative_wtp,,india
4b042b52-ef1c-43e1-97e9-41aff10bbb27,Astrotalk,astrology,waste of money,negative_wtp,,india
09a0b05f-eb1c-4a44-a6fa-524b40c0feab,Astrotalk,astrology,scam,negative_wtp,,india
09a0b05f-eb1c-4a44-a6fa-524b40c0feab,Astrotalk,astrology,loot,negative_wtp,,india
bf8cce3c-88df-4baf-83d8-aa422a6add10,Astrotalk,astrology,waste of money,negative_wtp,,india
cb51575d-4abb-46af-b8b5-fba87adce220,Astrotalk,astrology,scam,negative_wtp,,india
c3590124-a818-4ad3-8d3c-bf44407c5a68,Astrotalk,astrology,scam,negative_wtp,,india
184df605-4d97-46a8-ad35-eee83c0b8813,Astrotalk,astrology,waste of money,negative_wtp,,india
dbc0dbe9-4299-4326-9b49-117d42c98ce2,Astrotalk,astrology,not worth,negative_wtp,,india
95d40b02-125f-49df-8269-cdc16e58d00f,Astrotalk,astrology,waste of money,negative_wtp,,india
bd48ce30-b25d-4358-9584-c5c874f46d0a,Astrotalk,astrology,scam,negative_wtp,,india
bd48ce30-b25d-4358-9584-c5c874f46d0a,Astrotalk,astrology,scam,negative_wtp,,india
8f594e5a-4aa6-4a68-94a8-ebec74384392,Astrotalk,astrology,waste of money,negative_wtp,,india
46fd2e32-a769-41a3-b094-ee992a30204d,Astrotalk,astrology,loot,negative_wtp,,india
98425fc6-baf2-4b8d-8639-51266142d3ee,Astrotalk,astrology,waste of money,negative_wtp,,india
6271a427-999e-48f3-a35c-244a08ea1c41,Astrotalk,astrology,waste of money,negative_wtp,,india
8c91d53e-7365-4796-b46b-530e5695e137,Astrotalk,astrology,worth the money,positive_wtp,,india
8c91d53e-7365-4796-b46b-530e5695e137,Astrotalk,astrology,not worth,negative_wtp,,india
9effe443-eaf7-4782-9f7b-a144927bcaa4,Astrotalk,astrology,waste of money,negative_wtp,,india
ecbd83c9-a6a8-42fe-ae8a-76235d294aef,Astrotalk,astrology,scam,negative_wtp,,india
cd8ee8f5-0291-4e0b-93e2-afc6342dc64a,Astrotalk,astrology,scam,negative_wtp,,india
1d3d0bab-beb9-4fd8-a007-b7c9ce429def,Astrotalk,astrology,scam,negative_wtp,,india
768263c6-06dd-4f70-af00-d4e20fc52f77,Astrotalk,astrology,scam,negative_wtp,,india
c55dfe5c-a763-46ec-b560-ee324d08b35e,Astrotalk,astrology,scam,negative_wtp,,india
940d1ec2-b3f0-41c1-ad32-274edbd9ee1c,Astrotalk,astrology,scam,negative_wtp,,india
7656f15d-aac3-4b69-96ce-a7366b292308,Astrotalk,astrology,Scam,negative_wtp,,india
57948223-6066-4dc9-bd7c-6883bde565e3,Astrotalk,astrology,would pay,positive_wtp,,india
57948223-6066-4dc9-bd7c-6883bde565e3,Astrotalk,astrology,would pay if,conditional_wtp,,india
1f1818f5-6705-4569-af76-0adf499af21d,Astrotalk,astrology,scam,negative_wtp,,india
026525df-c353-4076-a325-9e428ffb31dd,Astrotalk,astrology,scam,negative_wtp,,india
f63fb0ee-4e02-449d-abd5-ccf7827a3563,Astrotalk,astrology,scam,negative_wtp,,india
902f2e17-bfcb-4adb-9b30-4976c2e6260f,Astrotalk,astrology,waste of money,negative_wtp,,india
90846f35-aaf8-4f7b-ad87-d06ce2e68ad2,Astrotalk,astrology,scam,negative_wtp,,india
ff73ab42-fa72-4c9e-8e13-6cf4ef739e90,Astrotalk,astrology,waste of money,negative_wtp,,india
8a21d6b5-00cd-49ee-972b-fd5477b09676,Astrotalk,astrology,scam,negative_wtp,,india
4577daa5-6761-4421-8e2c-cdadc373dd26,Astrotalk,astrology,scam,negative_wtp,,india
b2e122ea-c473-4fee-a49b-9942160918c8,Astrotalk,astrology,paisa barbaad,negative_wtp,,india
0d38b69f-dd8b-48d8-9e7a-04e3b810d31a,Astrotalk,astrology,Scam,negative_wtp,,india
86619320-6af4-44e5-8826-c812c78b006f,Astrotalk,astrology,rip off,negative_wtp,,india
1ebe4b3a-1216-4468-8c7b-efa96432f67c,Astrotalk,astrology,waste of money,negative_wtp,,india
d7cfaf82-21fa-4543-bf84-4a013933afe5,Astrotalk,astrology,too expensive,negative_wtp,,india
f1daaf2c-9785-4d1c-8c36-3f9ecccc795d,Astrotalk,astrology,scam,negative_wtp,,india
da2bfe3e-92a9-4d20-8a33-3e3e08600538,Astrotalk,astrology,scam,negative_wtp,,india
da2bfe3e-92a9-4d20-8a33-3e3e08600538,Astrotalk,astrology,loot,negative_wtp,,india
210d4164-8e95-43e6-82d9-6529619ed3a6,Astrotalk,astrology,scam,negative_wtp,,india
157f3fb1-11ce-4896-9079-1d5991f67e6b,Astrotalk,astrology,scam,negative_wtp,,india
157f3fb1-11ce-4896-9079-1d5991f67e6b,Astrotalk,astrology,scam,negative_wtp,,india
97cf6b67-766f-4ee5-a34f-216f61426f2b,Astrotalk,astrology,loot,negative_wtp,remedies,india
